Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
Swift,2015,3.5,5.0,50000,Petrol,Dealer,Manual,0
City,2016,5.2,7.0,40000,Diesel,Dealer,Manual,1
Baleno,2017,4.8,6.5,35000,Petrol,Dealer,Manual,0
i20,2014,3.0,4.2,60000,Petrol,Dealer,Manual,2
Verna,2018,6.5,8.0,30000,Diesel,Dealer,Manual,0
Fortuner,2019,25.0,30.0,20000,Diesel,Dealer,Automatic,0
Creta,2020,18.0,22.0,15000,Diesel,Dealer,Automatic,0
Polo,2013,2.5,3.5,70000,Petrol,Individual,Manual,1
Civic,2016,7.0,9.0,45000,Petrol,Dealer,Manual,0
Amaze,2015,4.0,5.5,55000,Petrol,Dealer,Manual,0
Swift,2017,4.2,5.8,42000,Petrol,Dealer,Manual,0
City,2018,6.0,7.5,38000,Diesel,Dealer,Manual,1
Baleno,2019,5.5,6.8,36000,Petrol,Dealer,Manual,0
i20,2015,3.2,4.5,62000,Petrol,Dealer,Manual,2
Verna,2020,7.8,9.5,28000,Diesel,Dealer,Manual,0
Fortuner,2021,28.0,32.0,18000,Diesel,Dealer,Automatic,0
Creta,2022,20.0,24.0,12000,Diesel,Dealer,Automatic,0
Polo,2014,2.8,3.8,75000,Petrol,Individual,Manual,1
Civic,2017,7.5,9.5,47000,Petrol,Dealer,Manual,0
Amaze,2016,4.3,6.0,53000,Petrol,Dealer,Manual,0
